"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","Control characteristic 1","Control characteristic 2","Control characteristic 3","Control characteristic 4","Control characteristic 5","Control characteristic 6","Control outcome Pop B untreated","Control outcome Pop B with intervention","Intervention characteristic 1","Intervention characteristic 2","Intervention characteristic 3","Intervention characteristic 4","Intervention characteristic 5","Intervention characteristic 6","Intervention outcome Pop A untreated","Intervention outcome Pop A with intervention"
"2","0","0","0","0","0","1","0.307655284388227","3.27565719104601","0","0","0","0","0","0","2.15912935949862","5.05296706223269"
"3","0","1","1","0","0","1","7.42772762399707","80.9963867451683","0","0","0","0","0","0","9.97323790750981","2.17978642127839"
"4","0","0","0","0","0","1","9.0657856222964","1.60968747196393","0","0","0","1","0","1","14.032318778832","9.96065193895148"
"5","0","0","0","1","0","0","15.5886876036287","3.86261272235407","0","0","0","0","0","1","8.24572991428637","7.20904004241005"
"6","0","0","1","1","0","0","17.6521611106756","26.3263821898693","0","1","0","0","0","0","8.17818317417473","1.1782550325121"
"7","1","0","0","1","0","1","18.4575544925766","16.210744545653","0","0","0","1","1","0","6.50089461749781","10.3019181699295"
"8","0","0","0","1","0","0","2.01510808686138","21.5126465470693","0","0","1","0","0","0","5.29784357028456","52.5519454004166"
"9","0","0","1","1","0","0","22.494141217489","54.0591650129542","1","1","0","0","0","0","5.24824394405875","35.8862873928543"
"10","0","0","0","0","0","0","7.25671491872317","6.4674913265959","0","0","0","1","1","0","3.7027934146746","15.3062819780228"
"11","1","1","0","0","1","1","4.90540490149329","6.70761254292488","0","0","0","0","0","0","3.38111076432668","1.85253975691281"
"12","1","0","0","1","0","1","34.3036560364424","57.750256293941","0","0","0","1","0","1","25.0150696935519","15.3221753042894"
"13","0","0","0","0","1","1","4.87916122448278","3.5649684446554","0","1","0","0","1","0","2.36792336979809","5.98245477525474"
"14","0","1","0","0","1","0","8.22423256220819","15.3581875976693","0","0","0","0","0","1","6.65128811902175","4.1788722134682"
"15","1","0","0","1","0","1","14.2841423740408","43.2262926163861","0","0","0","0","1","1","2.24397249581119","14.4525808800305"
"16","0","0","0","0","1","1","13.8060979113611","1.57197397600748","0","1","0","0","0","1","17.7594780885363","19.4172489604281"
"17","1","0","1","0","0","0","51.7813921777016","56.2917377371873","0","0","0","0","0","0","17.7383789863166","14.8582897587173"
"18","0","1","0","1","0","1","30.0981523492814","4.67375725198759","1","0","0","0","0","0","10.8279600455375","9.17217815912977"
